Ch ID,Max power [kW],Time [ISO8601],Predicted output power [kW]
1,250,2025-08-06 9:20:00,244543.2659
1,250,2025-08-06 9:21:00,244543.2659
1,250,2025-08-06 9:22:00,244543.2659
1,250,2025-08-06 9:23:00,244543.2659
1,250,2025-08-06 9:24:00,244543.2659
1,250,2025-08-06 9:25:00,244543.2659
1,250,2025-08-06 9:26:00,244543.2659
1,250,2025-08-06 9:27:00,244543.2659
1,250,2025-08-06 9:28:00,244543.2659
1,250,2025-08-06 9:29:00,244543.2659
1,250,2025-08-06 9:30:00,244543.2659
1,250,2025-08-06 9:31:00,244543.2659
1,250,2025-08-06 9:32:00,244543.2659
1,250,2025-08-06 9:33:00,244543.2659
1,250,2025-08-06 9:34:00,244543.2659
1,250,2025-08-06 9:35:00,244543.2659
1,250,2025-08-06 9:36:00,244543.2659
1,250,2025-08-06 9:37:00,244543.2659
1,250,2025-08-06 9:38:00,244543.2659
1,250,2025-08-06 9:39:00,244543.2659
1,250,2025-08-06 9:40:00,244543.2659
1,250,2025-08-06 10:38:00,248616.2026
1,250,2025-08-06 10:39:00,248616.2026
1,250,2025-08-06 10:40:00,248616.2026
1,250,2025-08-06 10:41:00,248616.2026
1,250,2025-08-06 10:42:00,248616.2026
1,250,2025-08-06 10:43:00,248616.2026
1,250,2025-08-06 10:44:00,248616.2026
1,250,2025-08-06 10:45:00,248616.2026
1,250,2025-08-06 10:46:00,248616.2026
1,250,2025-08-06 10:47:00,248616.2026
1,250,2025-08-06 10:48:00,248616.2026
1,250,2025-08-06 10:49:00,248616.2026
1,250,2025-08-06 10:50:00,248616.2026
1,250,2025-08-06 10:51:00,248616.2026
1,250,2025-08-06 10:52:00,248616.2026
1,250,2025-08-06 10:53:00,248616.2026
1,250,2025-08-06 10:54:00,248616.2026
1,250,2025-08-06 10:55:00,248616.2026
1,250,2025-08-06 10:56:00,248616.2026
1,250,2025-08-06 10:57:00,248616.2026
1,250,2025-08-06 11:29:00,242674.5629
1,250,2025-08-06 11:30:00,242674.5629
1,250,2025-08-06 11:31:00,242674.5629
1,250,2025-08-06 11:32:00,242674.5629
1,250,2025-08-06 11:33:00,242674.5629
1,250,2025-08-06 11:34:00,242674.5629
1,250,2025-08-06 11:35:00,242674.5629
1,250,2025-08-06 11:36:00,242674.5629
1,250,2025-08-06 11:37:00,242674.5629
1,250,2025-08-06 11:38:00,242674.5629
1,250,2025-08-06 11:39:00,242674.5629
1,250,2025-08-06 11:40:00,242674.5629
1,250,2025-08-06 11:41:00,242674.5629
1,250,2025-08-06 11:42:00,242674.5629
1,250,2025-08-06 11:43:00,242674.5629
1,250,2025-08-06 11:44:00,242674.5629
1,250,2025-08-06 11:45:00,242674.5629
1,250,2025-08-06 11:46:00,242674.5629
1,250,2025-08-06 11:47:00,242674.5629
1,250,2025-08-06 11:48:00,242674.5629
1,250,2025-08-06 11:49:00,242674.5629
1,250,2025-08-06 11:50:00,242674.5629
1,250,2025-08-06 11:51:00,242674.5629
1,250,2025-08-06 11:52:00,242674.5629
1,250,2025-08-06 11:53:00,242674.5629
1,250,2025-08-06 11:54:00,242674.5629
1,250,2025-08-06 11:55:00,242674.5629
1,250,2025-08-06 11:56:00,242674.5629
1,250,2025-08-06 11:57:00,242674.5629
1,250,2025-08-06 11:58:00,242674.5629
1,250,2025-08-06 11:59:00,242674.5629
1,250,2025-08-06 12:00:00,242674.5629
1,250,2025-08-06 12:01:00,242674.5629
1,250,2025-08-06 12:02:00,242674.5629
1,250,2025-08-06 12:09:00,248378.2724
1,250,2025-08-06 12:10:00,248378.2724
1,250,2025-08-06 12:11:00,248378.2724
1,250,2025-08-06 12:12:00,248378.2724
1,250,2025-08-06 12:13:00,248378.2724
1,250,2025-08-06 12:14:00,248378.2724
1,250,2025-08-06 12:15:00,248378.2724
1,250,2025-08-06 12:16:00,248378.2724
1,250,2025-08-06 12:17:00,248378.2724
1,250,2025-08-06 12:18:00,248378.2724
1,250,2025-08-06 12:19:00,248378.2724
1,250,2025-08-06 12:20:00,248378.2724
1,250,2025-08-06 12:21:00,248378.2724
1,250,2025-08-06 12:22:00,248378.2724
1,250,2025-08-06 12:23:00,248378.2724
1,250,2025-08-06 12:24:00,248378.2724
1,250,2025-08-06 12:25:00,248378.2724
1,250,2025-08-06 12:26:00,248378.2724
1,250,2025-08-06 12:27:00,248378.2724
1,250,2025-08-06 12:28:00,248378.2724
1,250,2025-08-06 12:29:00,248378.2724
1,250,2025-08-06 12:30:00,248378.2724
1,250,2025-08-06 12:31:00,248378.2724
1,250,2025-08-06 12:32:00,248378.2724
1,250,2025-08-06 12:33:00,248378.2724
1,250,2025-08-06 12:34:00,248378.2724
1,250,2025-08-06 12:35:00,248378.2724
1,250,2025-08-06 12:36:00,248378.2724
1,250,2025-08-06 12:37:00,248378.2724
1,250,2025-08-06 12:38:00,248378.2724
1,250,2025-08-06 12:39:00,248378.2724
1,250,2025-08-06 12:40:00,248378.2724
1,250,2025-08-06 12:41:00,248378.2724
1,250,2025-08-06 12:42:00,248378.2724
1,250,2025-08-06 12:43:00,248378.2724
1,250,2025-08-06 12:44:00,248378.2724
1,250,2025-08-06 12:45:00,248378.2724
1,250,2025-08-06 12:46:00,248378.2724
1,250,2025-08-06 12:47:00,248378.2724
1,250,2025-08-06 12:48:00,248378.2724
1,250,2025-08-06 12:49:00,248378.2724
1,250,2025-08-06 12:50:00,248378.2724
1,250,2025-08-06 12:51:00,248378.2724
1,250,2025-08-06 12:52:00,248378.2724
1,250,2025-08-06 12:56:00,247687.4657
1,250,2025-08-06 12:57:00,247687.4657
1,250,2025-08-06 12:58:00,247687.4657
1,250,2025-08-06 12:59:00,247687.4657
1,250,2025-08-06 13:00:00,247687.4657
1,250,2025-08-06 13:01:00,247687.4657
1,250,2025-08-06 13:02:00,247687.4657
1,250,2025-08-06 13:03:00,247687.4657
1,250,2025-08-06 13:04:00,247687.4657
1,250,2025-08-06 13:05:00,247687.4657
1,250,2025-08-06 13:06:00,247687.4657
1,250,2025-08-06 13:07:00,247687.4657
1,250,2025-08-06 13:08:00,247687.4657
1,250,2025-08-06 13:09:00,247687.4657
1,250,2025-08-06 13:10:00,247687.4657
1,250,2025-08-06 13:11:00,247687.4657
1,250,2025-08-06 13:12:00,247687.4657
1,250,2025-08-06 13:13:00,247687.4657
1,250,2025-08-06 13:14:00,247687.4657
1,250,2025-08-06 13:15:00,247687.4657
1,250,2025-08-06 13:16:00,247687.4657
1,250,2025-08-06 13:17:00,247687.4657
1,250,2025-08-06 13:18:00,247687.4657
